zip_code,cnt
60612,4505002
60666,2084929
60628,205966
60617,202189
60629,195853
60618,179549
60632,178563
60620,176854
60623,169537
60647,167476
60619,164720
60609,160022
60608,153654
60634,143060
60643,136504
60639,134042
60641,129427
60636,121999
60638,115871
60630,111884
60651,111727
60622,110453
60625,109635
60624,96875
60621,96382
60644,94818
60614,93671
60637,83916
60652,82685
60657,81409
60649,78215
60640,77606
60616,67941
60646,67792
60613,60749
60645,60041
60659,55408
60631,55158
60655,54820
60653,52726
60626,52405
60615,48805
60660,46743
60607,44124
60642,43420
60656,38614
60707,35761
60018,33511
60610,31509
60605,24741
60611,23120
60633,21924
60654,19589
60601,13880
60661,8730
60606,7873
60827,7591
60602,5010
60603,4604
60604,3436
0,991
60635,47
60804,18
60627,15
"VE, 0",7
60706,6
60402,6
60202,5
60409,4
60076,3
60201,3
60712,3
00000,3
O AVE,2
60062,2
60173,2
60181,2
60090,2
6065,2
H AVE,2
60053,2
60302,2
60459,2
60130,2
46407,2
60453,2
60803,2
60148,1
60462,1
60686,1
78641,1
60042,1
60443,1
60558,1
60164,1
60034,1
60663,1
60107,1
60490,1
60304,1
66142,1
60025,1
"RD, 0",1
60680,1
60016,1
60714,1
60966,1
60056,1
02148,1
60065,1
6-646,1
60563,1
6061-,1
60419,1
60521,1
69630,1
"VD, 0",1
60073,1
60504,1
50521,1
69616,1
68132,1
61108,1
60131,1
69605,1
60477,1
60069,1
60068,1
60662,1
60417,1
61656,1
60137,1
60014,1
60101,1
60422,1
60085,1
60194,1
60411,1
60175,1
60045,1
60165,1
60425,1
60087,1
E AVE,1
93263,1
69651,1
60176,1
60160,1
60432,1
60471,1
60532,1
6032,1
60169,1
60004,1
6061,1
60064,1
60126,1
60482,1
60429,1
60648,1
6040,1
