column_name,missing_pct
legacy_sr_number,99.96089978807184
sanitation_division_days,98.9864972965181
parent_sr_number,94.71184784094754
electrical_district,90.5932679438379
created_department,40.62743921811858
city,33.9703594698467
state,33.9703594698467
electricity_grid,17.30108019688601
zip_code,6.707888207169229
closed_date,1.8105038408544611
street_type,0.8073438262066281
precinct,0.1726582617236802
community_area,0.14861959041012962
police_sector,0.143739134116555
police_beat,0.143739134116555
police_district,0.14370681321394854
ward,0.1436260109574324
latitude,0.10452579902927402
location,0.10452579902927402
longitude,0.10452579902927402
x_coordinate,0.1014391528303576
y_coordinate,0.10142299237905437
street_direction,0.09489417005255056
street_number,0.09119342670411151
street_name,0.09007027533853722
street_address,0.08916529006555649
origin,0.0
created_day_of_week,0.0
sr_short_code,0.0
created_month,0.0
status,0.0
created_hour,0.0
owner_department,0.0
created_date,0.0
sr_type,0.0
legacy_record,0.0
duplicate,0.0
last_modified_date,0.0
sr_number,0.0
